Gender,Teacher,Period,Student ID,Gender,Ethnicity,Economic,LEP,SCICOUR,CTE,TOT,BIO,ELA,Alg,GPA,TOSLS1,TOSLS2,TOSLS3,TOSLS4,TOSLS5,TOSLS6,TOSLS7,TOSLS8,TOSLS9,TOSLSTOT,BRAINS1,BRAINS2,BRAINS3,BRAINS4,BRAINS5,BRAINSTOT,SORT
F,Robissa,6,,,,,,,,,,,,,,,,,,,,,,,0,2,22,5,0,29,24
M,Robissa,1,,,,,,,,,,,,,,,,,,,,,,,11,8,23,8,5,55,24
M,Robissa,4,,,,,,,,,,,,,,,,,,,,,,,19,13,17,13,3,65,24
M,Howell,4,,,,,,,,,,,,,,,,,,,,,,,15,12,24,15,1,67,24
F,Howell,2,,,,,,,,,,,,,,,,,,,,,,,7,3,22,5,0,37,24
M,Howell,7,,,,,,,,,,,,,,,,,,,,,,,10,7,21,17,3,58,24
M,Howell,6,,,,,,,,,,,,,,,,,,,,,,,1,1,16,12,0,30,24
F,Nyholm,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Nyholm,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Nyholm,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Brennan,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Frederiksen,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Howell,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Howell,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lew,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lew,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lew,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lew,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lew,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M,Lew,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lew,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lew,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
F,Lew,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
